minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.84,3.27,3.63,9.0,1.04,7.72,4.4,510.2,127.05,0.91,256.45,10.01,62.38,50.07,0.0,0.13
3.05,3.42,7.97,9.0,1.04,4.83,4.53,507.84,125.47,0.89,251.49,10.05,62.98,50.02,0.0,0.2
2.84,3.94,2.97,9.0,1.14,4.83,4.94,562.79,166.83,1.0,308.02,9.95,62.64,49.25,0.0,0.85
1.85,4.5,2.35,9.0,1.04,3.23,4.51,564.99,171.91,0.99,309.14,9.99,63.1,48.82,0.0,0.56
2.25,1.73,3.99,9.0,1.04,4.83,5.61,774.86,339.34,1.22,512.54,9.52,65.49,45.46,0.0,2.8
4.83,1.46,3.0,9.0,1.49,4.24,5.12,798.39,343.07,1.19,536.03,9.28,65.63,44.21,0.0,2.73
4.58,3.94,2.83,9.0,1.04,4.83,5.33,709.8,287.17,1.14,446.05,9.89,65.63,47.05,0.0,1.95
2.84,2.67,2.35,9.0,1.04,4.83,4.55,606.41,193.76,1.0,346.71,9.89,64.18,47.73,0.0,0.87
2.84,4.48,2.35,9.0,1.04,7.67,4.95,527.7,140.47,0.93,271.89,10.06,62.88,49.62,3.0,4.0
1.28,2.38,2.35,9.0,1.04,4.83,4.7,609.92,198.61,1.04,352.12,9.81,63.71,48.3,0.0,0.99
2.84,3.94,4.28,9.0,1.06,4.83,4.92,597.93,201.39,1.08,344.04,9.94,62.43,49.83,0.0,0.91
2.84,3.43,2.35,9.0,0.54,4.83,4.65,543.88,163.99,0.99,288.33,10.01,62.88,50.03,39.0,4.0
4.71,3.94,2.35,9.0,1.19,6.61,4.98,662.73,242.52,1.08,400.3,9.91,64.96,47.52,0.0,1.42
3.11,3.13,2.35,9.0,1.43,7.05,5.12,612.01,193.71,1.01,354.29,9.83,63.76,47.61,0.0,1.37
2.84,3.94,2.35,9.0,1.52,2.01,5.03,546.48,142.98,0.96,293.77,9.76,62.02,49.06,0.0,0.96
1.29,3.17,6.78,9.0,1.04,7.62,4.63,598.94,198.14,1.04,339.95,10.0,64.03,48.49,1.0,4.0
2.84,3.94,2.35,9.0,1.04,4.83,4.6,570.43,174.55,1.02,315.97,9.94,62.52,49.43,0.0,0.6
2.84,3.94,2.35,9.0,1.77,5.47,4.81,665.94,225.86,1.09,406.17,9.79,64.26,47.23,0.0,1.33
2.97,1.58,5.27,9.0,0.92,4.83,5.08,577.33,178.22,0.97,321.79,9.7,63.0,48.29,0.0,1.27
3.64,3.94,8.83,9.0,1.04,4.83,4.79,553.28,162.63,0.99,297.74,10.02,62.82,50.5,0.0,0.52
4.87,3.94,7.4,9.0,1.43,7.41,5.03,650.34,228.07,1.07,388.65,9.93,64.67,48.03,0.0,1.33
2.23,1.86,2.35,9.0,1.04,4.83,5.13,646.82,238.88,1.13,392.77,9.6,62.59,47.79,0.0,1.68
4.68,3.94,8.79,9.0,1.04,7.8,4.76,602.71,202.72,1.02,343.84,9.99,63.95,48.6,0.0,0.91
2.84,2.22,3.09,9.0,1.04,4.89,4.68,627.26,210.57,1.04,367.4,9.81,64.22,47.48,0.0,1.12
2.84,3.94,2.35,9.0,1.66,3.87,4.74,607.16,189.15,1.06,352.66,9.73,62.56,48.18,0.0,1.05
2.84,4.62,4.9,9.0,1.04,3.63,4.25,463.19,91.61,0.84,209.4,10.13,62.27,51.01,0.0,-0.32
3.65,3.94,2.35,9.0,1.04,4.75,5.07,558.65,167.75,1.0,302.96,9.95,62.86,49.34,0.0,0.94
3.8,3.94,8.58,9.0,1.75,2.7,5.02,655.09,218.6,1.05,392.86,9.82,64.96,46.96,0.0,1.48
2.84,3.94,4.9,9.0,1.31,7.95,4.87,524.66,131.95,0.92,268.79,10.02,62.9,49.35,0.0,0.59
2.02,4.05,3.2,9.0,1.04,3.63,4.45,500.24,121.71,0.92,249.13,10.01,61.56,50.86,0.0,0.05
2.16,3.94,6.53,9.0,1.04,4.51,5.1,591.94,190.62,1.04,334.22,9.97,63.64,49.15,0.0,1.07
2.84,4.38,2.35,9.0,1.04,4.1,5.52,680.68,269.14,1.16,421.02,9.89,64.13,48.65,0.0,1.83
1.59,4.8,2.48,9.0,1.04,2.58,4.56,565.27,169.41,0.97,306.9,9.99,63.75,48.58,0.0,0.62
2.84,2.95,6.31,9.0,1.04,7.88,4.65,523.81,138.37,0.92,268.61,10.06,62.73,50.06,0.0,0.34
2.84,3.94,6.86,9.0,1.04,4.83,5.38,574.07,174.54,0.98,313.81,9.99,64.2,48.93,0.0,1.23
2.84,2.46,7.66,9.0,1.49,3.54,4.93,698.68,260.02,1.12,437.95,9.73,64.68,46.55,0.0,1.68
2.85,4.62,5.48,9.0,0.82,3.57,4.66,559.54,170.72,1.02,301.95,10.05,63.45,50.11,4.0,4.0
2.84,4.12,6.49,9.0,1.24,3.63,4.91,657.85,237.58,1.11,397.19,9.92,64.44,47.87,0.0,1.3
2.84,2.37,2.53,9.0,1.04,2.21,4.68,572.45,171.53,0.98,318.88,9.68,62.31,48.43,0.0,0.93
2.84,4.62,3.88,9.0,0.88,3.63,4.69,585.63,186.16,1.03,327.0,10.07,63.81,49.38,0.0,0.64
1.89,5.04,4.9,9.0,1.04,3.63,4.87,508.42,129.76,0.92,255.21,10.09,62.29,50.65,1.0,4.0
2.45,4.62,4.91,9.0,1.04,3.63,5.5,833.48,401.57,1.29,563.21,9.8,67.66,45.77,0.0,2.76
3.75,4.62,4.9,9.0,1.04,7.91,4.59,540.66,153.86,0.97,286.76,10.06,62.45,50.21,2.0,4.0
2.84,4.62,3.22,9.0,1.04,3.63,4.63,527.37,141.73,0.95,272.68,9.98,62.57,50.12,0.0,0.38
3.41,4.62,2.26,9.0,1.04,7.73,4.6,561.29,171.79,1.01,306.12,9.97,62.68,50.14,2.0,4.0
2.84,4.61,7.21,9.0,1.27,3.63,4.72,590.89,184.69,1.02,332.01,10.0,63.8,49.45,0.0,0.69
4.62,1.5,4.81,9.0,1.54,3.63,5.47,711.07,271.28,1.11,450.64,9.42,64.72,45.71,0.0,2.44
1.64,4.17,6.72,9.0,1.04,3.63,4.63,540.52,154.53,0.98,284.88,10.01,62.83,50.26,0.0,0.4
2.84,4.62,4.9,9.0,1.04,5.24,4.72,617.7,210.78,1.07,358.12,10.05,64.03,49.12,1.0,4.0
2.67,4.17,4.9,9.0,1.04,6.7,5.56,933.39,485.29,1.45,661.88,9.71,68.11,45.12,0.0,3.29
1.6,4.62,3.61,9.0,1.04,6.76,4.74,615.37,209.38,1.07,355.67,10.03,64.08,49.3,2.0,4.0
2.84,4.62,4.9,9.0,1.04,3.63,4.74,567.96,173.51,1.01,311.56,10.0,62.98,49.84,0.0,0.62
1.64,4.17,6.72,9.0,1.04,3.63,4.47,527.1,145.12,0.95,273.02,10.05,62.45,50.38,0.0,0.2
2.36,4.17,3.9,9.0,0.9,2.65,4.45,512.7,130.76,0.9,257.49,10.03,62.74,49.66,0.0,0.22
1.64,4.17,6.72,9.0,1.04,3.63,5.05,558.93,165.16,0.97,300.16,10.03,63.79,49.12,0.0,0.89
1.64,3.78,3.45,9.0,1.04,3.63,4.82,582.32,183.69,1.02,325.02,9.94,63.31,48.91,0.0,0.87
