minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
3.19,5.51,7.82,9.0,1.67,2.04,4.5,559.78,139.11,1.0,301.0,10.17,63.07,50.14,0.0,0.15
3.38,4.95,12.65,9.0,1.04,7.82,4.24,462.96,101.88,0.84,196.71,11.1,65.06,53.45,0.0,-1.18
3.38,1.68,8.5,9.0,1.04,7.82,4.72,649.19,234.08,1.02,382.43,10.11,66.48,47.52,0.0,1.06
2.84,2.54,14.52,9.0,1.45,4.07,4.57,531.9,131.34,0.96,274.06,10.28,63.11,50.34,0.0,0.08
3.38,5.62,8.5,9.0,1.04,7.82,4.23,457.64,96.57,0.83,191.12,11.15,65.18,53.7,0.0,-1.27
2.43,3.38,8.5,9.0,1.25,5.87,4.82,546.67,142.99,0.96,278.75,10.64,65.68,51.26,0.0,-0.01
3.38,5.51,4.81,9.0,1.04,7.82,4.06,462.2,93.93,0.81,193.06,11.03,65.8,52.92,0.0,-1.25
4.07,5.51,5.57,9.0,1.17,2.97,4.27,479.2,102.1,0.85,216.6,10.71,64.19,52.37,0.0,-0.78
2.95,2.77,8.5,9.0,1.04,6.65,4.41,486.04,116.55,0.88,225.7,10.69,63.82,52.37,0.0,-0.6
3.38,4.34,9.49,9.0,1.97,2.33,4.65,586.41,143.63,1.0,330.06,9.96,62.24,49.18,0.0,0.53
4.48,5.51,10.92,9.0,1.04,7.82,4.32,499.34,125.8,0.89,228.46,11.07,66.51,53.11,0.0,-0.96
3.38,2.78,8.5,9.0,1.04,7.52,4.9,612.67,208.4,1.09,343.16,10.58,66.68,50.51,0.0,0.45
4.49,5.51,8.5,9.0,1.04,7.82,4.08,456.58,94.66,0.8,187.44,11.12,65.84,52.95,0.0,-1.29
2.3,5.51,11.68,9.0,1.94,7.82,4.33,526.08,115.47,0.93,262.91,10.53,64.26,50.74,0.0,-0.38
3.81,4.83,13.27,9.0,1.45,2.95,4.7,617.4,186.21,1.05,349.08,10.47,66.09,50.28,0.0,0.29
4.82,5.51,8.5,9.0,1.5,7.82,4.17,482.53,99.04,0.86,218.43,10.77,64.67,52.37,0.0,-0.91
2.03,5.51,11.35,9.0,1.04,3.26,4.41,511.37,131.36,0.91,242.98,10.97,65.7,52.96,0.0,-0.79
3.38,2.86,8.5,9.0,0.57,7.82,4.22,452.68,106.68,0.82,188.13,10.96,64.75,52.66,60.0,4.0
3.38,5.51,8.89,9.0,1.04,6.94,4.3,542.23,156.49,0.95,270.62,10.97,67.29,51.52,0.0,-0.6
3.38,3.21,8.5,9.0,1.74,5.41,5.24,649.46,202.69,1.09,386.72,10.14,64.55,49.15,0.0,1.12
3.38,5.51,8.5,9.0,0.68,7.82,4.27,468.51,118.35,0.85,200.26,11.23,65.59,53.95,47.0,4.0
3.38,5.51,8.5,9.0,1.04,3.73,4.63,465.56,100.93,0.83,200.22,10.97,64.91,53.28,0.0,-0.78
3.38,5.51,10.73,9.0,1.04,7.82,4.42,529.69,148.44,0.95,258.56,11.08,66.62,52.98,0.0,-0.78
3.38,5.51,8.5,9.0,1.39,7.82,4.45,570.83,159.46,1.0,301.31,10.81,66.28,51.72,0.0,-0.39
3.38,4.81,5.56,9.0,1.94,7.82,4.04,478.17,82.88,0.86,218.88,10.4,63.25,50.81,0.0,-0.66
3.38,4.08,8.5,9.0,1.41,7.82,4.23,509.79,117.35,0.9,243.17,10.74,65.28,51.69,0.0,-0.69
3.35,4.43,8.89,9.0,1.04,5.28,4.23,510.06,134.91,0.91,244.78,10.95,64.84,53.04,0.0,-0.91
4.86,5.51,6.83,9.0,1.35,6.94,4.31,522.48,124.14,0.91,253.59,10.78,66.04,51.85,0.0,-0.64
2.82,5.51,8.89,9.0,0.63,6.94,4.24,434.65,88.08,0.79,164.85,11.32,65.91,53.86,55.0,4.0
1.89,4.25,12.55,9.0,1.4,6.46,4.45,520.97,127.56,0.94,258.06,10.79,64.23,52.34,0.0,-0.59
3.38,5.76,4.17,9.0,1.04,6.94,4.22,470.9,102.82,0.84,204.43,10.97,65.17,53.06,0.0,-1.06
3.38,5.51,13.97,9.0,1.26,6.94,4.25,460.34,92.68,0.83,194.75,11.05,64.95,53.76,0.0,-1.22
4.83,5.51,8.89,9.0,1.39,7.25,4.31,512.15,119.73,0.89,244.08,10.85,65.61,52.32,0.0,-0.76
3.38,1.94,11.63,9.0,1.94,6.94,4.93,649.05,187.23,1.03,388.69,9.82,64.35,47.14,0.0,1.26
1.53,2.33,8.89,9.0,1.04,2.79,4.86,458.99,88.86,0.84,204.26,10.28,62.17,51.69,0.0,-0.03
3.97,2.83,8.89,9.0,1.04,6.94,4.51,524.85,144.15,0.94,261.28,10.7,64.61,51.71,0.0,-0.34
1.32,5.51,7.1,9.0,0.53,6.94,4.17,414.32,72.9,0.75,147.22,11.39,65.3,54.48,135.0,4.0
