minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.15,4.64,5.23,9.0,0.82,2.53,4.22,472.15,106.13,0.85,207.49,10.81,64.72,52.66,0.0
2.15,4.92,5.23,9.0,1.47,3.4,4.19,466.8,86.9,0.85,209.72,10.5,62.69,51.75,0.0
4.14,4.64,5.23,9.0,1.26,7.98,4.6,509.69,122.92,0.9,244.82,10.74,64.81,52.1,0.0
3.66,4.64,4.87,9.0,1.47,6.67,4.26,501.77,108.83,0.89,239.47,10.63,64.08,51.74,0.0
2.15,1.48,5.23,9.0,0.85,6.86,4.76,581.03,182.64,1.0,322.53,9.95,63.72,48.53,1.0
2.15,4.64,5.23,9.0,1.47,2.1,4.38,540.51,129.16,0.96,283.65,10.21,62.61,50.31,0.0
1.5,4.64,5.23,9.0,1.99,5.84,4.8,550.67,135.99,0.95,289.48,10.23,63.98,49.48,0.0
3.57,5.24,13.57,9.0,1.47,2.74,4.34,497.25,107.6,0.89,236.75,10.61,63.61,52.14,0.0
2.32,5.24,8.54,9.0,1.47,4.82,4.18,481.86,94.74,0.86,218.16,10.72,64.44,51.84,0.0
2.36,4.51,4.72,9.0,1.47,4.82,4.23,473.92,90.34,0.85,215.15,10.53,63.19,51.58,0.0
2.36,5.24,4.72,9.0,1.68,4.82,4.12,498.69,95.05,0.89,238.97,10.46,63.34,51.32,0.0
4.4,1.89,14.45,9.0,1.47,4.82,5.04,689.23,247.69,1.08,422.58,9.98,66.37,47.59,0.0
2.36,3.63,10.07,9.0,1.3,6.41,4.47,489.68,109.2,0.9,228.94,10.76,63.73,52.67,0.0
4.05,5.58,4.72,9.0,1.8,4.82,4.54,519.56,107.35,0.93,260.6,10.32,63.05,51.03,0.0
1.98,5.24,7.39,9.0,1.47,4.82,4.46,498.86,107.18,0.9,236.89,10.68,63.94,52.15,0.0
4.35,4.51,5.67,9.0,1.12,4.82,4.31,491.83,114.14,0.87,227.11,10.81,64.65,52.51,0.0
3.19,5.72,4.72,9.0,1.47,6.94,4.53,602.95,187.63,1.11,339.2,10.51,64.44,50.95,0.0
3.86,3.47,4.72,9.0,0.58,4.82,4.13,437.87,89.99,0.79,172.7,10.95,64.79,53.14,20.0
2.36,2.43,7.7,9.0,1.88,3.08,4.89,559.88,125.98,0.96,305.58,9.77,62.26,48.12,0.0
1.88,4.51,6.64,9.0,1.47,6.08,4.15,463.09,86.94,0.85,203.73,10.7,63.36,52.55,0.0
1.8,4.51,4.72,9.0,0.57,4.82,4.03,430.64,81.96,0.77,164.5,11.14,65.07,53.15,88.0
2.36,4.51,6.38,9.0,1.59,4.82,4.33,487.32,94.37,0.85,224.35,10.54,64.29,51.15,0.0
2.36,2.31,4.72,9.0,0.79,4.82,4.35,486.24,117.59,0.87,226.89,10.43,63.5,51.22,1.0
2.36,5.16,4.72,9.0,1.71,2.45,4.29,482.47,86.11,0.85,226.62,10.2,62.14,50.15,0.0
2.25,4.14,5.07,9.0,0.79,4.01,4.19,463.67,101.43,0.84,198.77,10.92,64.75,53.33,4.0
2.36,2.31,4.72,9.0,1.29,4.82,4.38,532.9,132.25,0.93,276.41,10.11,62.77,49.55,0.0
2.36,2.31,4.72,9.0,0.79,4.82,4.35,486.24,117.59,0.87,226.89,10.43,63.5,51.22,1.0
2.2,2.09,5.07,9.0,0.78,6.84,4.56,503.79,134.92,0.91,246.63,10.41,62.96,51.19,8.0
1.65,5.52,5.07,9.0,1.71,3.64,4.22,481.57,102.16,0.87,225.57,10.39,62.37,51.49,0.0
3.35,3.76,8.87,9.0,1.71,4.27,4.46,570.98,145.79,1.0,307.64,10.3,64.54,50.14,0.0
2.2,2.99,5.07,9.0,0.79,3.64,4.33,472.53,107.18,0.85,211.55,10.63,63.89,52.1,2.0
3.51,5.14,4.01,9.0,1.71,3.85,4.33,529.39,117.27,0.97,272.45,10.28,62.59,51.35,0.0
2.2,4.38,5.07,9.0,1.07,7.61,4.3,492.95,117.28,0.88,228.01,10.93,64.8,52.74,0.0
2.2,5.16,10.36,9.0,1.71,6.67,4.24,480.09,91.39,0.87,220.02,10.66,63.48,52.27,0.0
2.55,4.28,14.17,9.0,1.83,3.64,4.87,553.89,124.53,0.97,290.67,10.35,64.43,50.41,0.0
2.2,4.93,5.07,9.0,1.99,5.5,4.59,484.05,87.4,0.88,228.12,10.3,62.2,51.21,0.0
2.2,5.16,5.07,9.0,1.71,3.64,4.27,450.22,70.29,0.82,194.87,10.41,62.04,51.82,0.0
2.2,5.16,5.07,9.0,1.79,3.64,4.92,560.99,139.81,1.01,303.99,10.18,62.58,50.46,0.0
1.73,5.16,3.93,9.0,0.67,3.64,4.0,443.29,86.19,0.79,176.32,11.03,65.25,52.93,43.0
1.92,4.84,9.25,9.0,1.71,3.64,4.31,505.4,104.57,0.91,244.98,10.47,63.5,51.55,0.0
2.2,5.16,8.6,9.0,1.83,4.19,4.55,481.84,93.61,0.87,224.32,10.4,62.75,51.1,0.0
2.2,5.16,5.07,9.0,1.71,3.64,4.27,450.22,70.29,0.82,194.87,10.41,62.04,51.82,0.0
2.61,5.16,6.39,9.0,1.71,2.54,4.41,517.07,104.79,0.91,258.2,10.26,62.98,50.45,0.0
1.38,2.4,7.9,9.0,1.71,3.64,4.58,522.23,112.19,0.91,268.14,9.93,62.15,48.92,0.0
2.93,5.16,5.07,9.0,1.71,4.38,4.29,512.73,110.3,0.93,256.54,10.36,62.4,51.39,0.0
2.2,3.69,12.66,9.0,1.71,2.74,4.4,550.62,127.69,0.96,290.51,10.24,63.6,49.96,0.0
2.34,5.65,5.07,9.0,1.71,2.64,4.58,489.71,92.44,0.88,232.73,10.28,62.52,50.83,0.0
3.65,5.08,6.03,9.0,1.71,3.08,4.14,460.56,76.43,0.85,205.96,10.37,61.91,51.81,0.0
2.61,4.53,5.78,9.0,1.71,7.91,4.11,471.11,84.86,0.84,211.79,10.52,63.27,51.3,0.0
2.09,5.16,11.26,9.0,1.71,5.04,4.19,534.65,122.33,0.92,267.86,10.56,65.63,50.35,0.0
2.61,5.16,11.45,9.0,1.54,2.54,4.85,544.16,129.89,0.98,281.47,10.44,64.14,50.98,0.0
4.48,3.42,6.39,9.0,1.86,7.96,4.63,599.97,155.19,1.03,339.74,10.18,63.76,49.89,0.0
3.35,5.16,11.29,9.0,1.71,3.82,4.16,492.55,95.73,0.87,231.7,10.5,63.72,51.19,0.0
2.61,5.16,7.22,9.0,1.71,2.54,4.72,536.0,115.65,0.95,276.14,10.25,63.37,50.31,0.0
2.61,5.16,6.39,9.0,0.78,6.4,4.09,454.75,98.68,0.81,186.06,11.16,65.71,53.29,4.0
4.36,2.61,6.39,9.0,1.47,6.76,4.44,517.29,121.01,0.91,260.11,10.29,62.97,50.29,0.0
2.22,5.16,7.79,9.0,1.71,6.96,4.76,509.55,108.47,0.92,249.44,10.58,63.56,52.12,0.0
2.61,5.16,14.12,9.0,1.32,6.09,4.45,511.52,120.39,0.92,243.34,10.94,65.65,52.97,0.0
2.61,3.62,6.39,9.0,1.71,2.54,4.55,548.69,124.5,0.98,292.74,10.02,62.46,49.18,0.0
2.61,3.33,13.2,9.0,1.71,2.54,4.49,552.1,131.28,0.97,294.29,10.09,63.14,49.27,0.0
1.53,5.16,11.88,9.0,1.78,2.54,4.28,492.18,108.17,0.9,236.24,10.37,62.25,51.32,0.0
2.61,5.16,6.39,9.0,1.71,2.54,4.41,517.07,104.79,0.91,258.2,10.26,62.98,50.45,0.0
2.61,5.16,6.39,9.0,1.92,5.42,4.26,495.97,86.79,0.89,236.22,10.37,63.28,51.02,0.0
2.2,4.66,10.78,9.0,1.71,3.01,4.4,521.27,112.09,0.91,259.16,10.4,64.06,50.77,0.0
2.61,3.81,5.7,9.0,1.71,3.19,4.57,546.1,124.17,0.99,290.31,10.15,62.33,50.15,0.0
2.61,3.62,5.07,9.0,1.71,3.64,4.39,538.66,117.67,0.96,280.69,10.15,62.86,49.73,0.0
2.21,5.16,6.39,9.0,1.71,2.79,4.3,530.19,115.72,0.95,270.6,10.31,63.32,50.61,0.0
1.8,3.44,7.44,9.0,1.71,5.04,4.68,559.16,140.86,0.99,300.19,10.25,63.34,50.0,0.0
2.2,5.16,13.33,9.0,1.71,4.11,4.32,497.56,97.87,0.87,232.08,10.62,64.94,51.28,0.0
2.61,3.62,5.69,9.0,0.98,5.91,4.86,518.57,138.5,0.94,253.9,10.79,64.81,52.28,0.0
2.61,3.62,6.39,9.0,0.78,2.54,4.58,466.14,103.21,0.83,203.91,10.7,64.07,52.31,0.0
2.2,5.16,14.18,9.0,1.91,3.71,4.41,550.77,128.71,0.98,289.83,10.38,63.82,50.84,0.0
2.2,4.48,8.19,9.0,1.57,4.8,4.27,519.59,116.09,0.91,255.84,10.58,64.5,51.62,0.0
4.64,5.16,9.71,9.0,0.64,3.64,4.15,452.08,105.01,0.81,183.98,11.1,65.46,53.1,14.0
2.27,1.66,4.77,9.0,1.71,3.03,5.46,771.09,265.57,1.16,509.01,9.23,65.07,43.94,0.0
1.26,5.16,5.07,9.0,0.58,3.64,4.18,425.49,78.07,0.79,160.99,11.17,64.58,54.73,80.0
2.2,2.48,5.07,9.0,0.64,7.3,4.2,465.81,108.04,0.84,203.9,10.7,64.15,51.74,29.0
2.54,3.05,5.65,9.0,0.75,2.76,4.32,467.5,104.64,0.84,206.96,10.56,63.74,51.81,3.0
2.2,5.16,5.07,9.0,0.72,3.64,4.11,458.4,98.72,0.82,190.08,11.06,65.58,53.21,22.0
2.56,3.03,5.65,9.0,1.58,2.15,4.81,552.23,126.43,0.98,296.72,9.84,62.46,48.77,0.0
4.35,3.05,5.65,9.0,0.75,2.76,4.67,576.28,196.83,1.03,312.02,10.43,64.68,51.07,1.0
2.54,5.4,11.32,9.0,1.85,2.76,4.38,540.61,120.25,0.97,283.0,10.26,62.77,50.56,0.0
2.54,3.81,5.65,9.0,1.2,2.76,4.52,526.86,130.61,0.95,268.22,10.42,63.29,51.24,0.0
2.54,3.94,5.65,9.0,0.67,2.76,4.26,462.04,104.71,0.84,198.93,10.81,64.34,52.68,36.0
2.54,3.05,12.27,9.0,0.75,2.76,4.82,490.56,126.38,0.9,228.28,10.65,64.09,52.12,9.0
2.54,5.34,5.65,9.0,1.73,2.76,4.21,539.49,115.66,0.96,278.67,10.24,63.71,50.01,0.0
