,edge,flow,density
437,-16728645#2,6.59,0.26
438,-16728645#3,10.72,0.37
439,-16728645#4,6.59,0.26
440,-16728645#5,7.42,0.2
441,-16728645#6,5.77,0.18
442,-16728645#7,0.0,0.05
443,-16728656,2.47,0.06
444,-16728658,0.0,0.17
445,-16728790#1,6.59,0.3
446,-16728790#2,1.65,0.09
447,-16728814#0,4.12,0.11
448,-16728814#1,4.12,0.16
449,-16728814#2,0.0,0.02
450,-16728892#0,17.31,0.56
451,-16729035#0,2.47,0.07
452,-16729035#1,1.65,0.04
453,-16729095#0,1.65,0.04
454,-16729095#1,0.0,0
455,-16729162#0,5.77,0.17
456,-16729162#1,15.66,0.67
457,-16729162#2,0.0,0.03
458,-16729162#3,8.24,0.26
459,-16729162#4,6.59,0.23
460,-16729162#5,4.12,0.19
461,-16729162#6,0.0,0.07
462,-16729237#0,0.0,0
463,-16729237#1,0.0,0.13
464,-16729306#0,0.0,0
465,-16729306#1,0.0,0
466,-16729324#0,8.24,0.93
467,-16729324#1,7.42,0.3
468,-16729324#2,5.77,0.41
469,-16729324#3,5.77,0.19
470,-16729340,2.47,0.1
471,-16729384#1,0.82,0.03
472,-16729384#2,4.12,0.21
473,-16729389#0,0.0,0
474,-16729389#1,0.0,0
475,-16729398#0,1.65,0.09
476,-16729398#1,3.3,0.18
477,-16729399#0,14.01,0.54
478,-16729399#1,14.01,0.47
479,-16729399#2,11.54,0.28
480,-16729399#3,6.59,0.22
481,-16729399#4,0.0,0.03
482,-16729442#1,4.95,0.16
483,-16729442#2,8.24,0.57
484,-16729442#3,8.24,0.24
485,-16729442#4,5.77,0.17
486,-16729442#5,4.95,0.17
487,-16729624#1,44.52,0.94
488,-16729624#10,107.17,1.89
489,-16729624#11,110.46,1.85
490,-16729624#12,106.34,1.66
491,-16729624#13,104.69,1.57
492,-16729624#14,105.52,1.78
493,-16729624#15,106.34,1.7
494,-16729624#16,96.45,2.34
495,-16729624#17,13.19,0.35
496,-16729624#2,63.48,1.69
497,-16729624#3,65.95,1.1
498,-16729624#4,70.07,1.13
499,-16729624#5,74.19,4.66
500,-16729624#6,76.67,1.3
501,-16729624#7,76.67,1.59
502,-16729624#8,96.45,3.6
503,-16729624#9,93.98,1.37
504,-16729641#0,0.0,0.06
505,-16729641#1,1.65,3.94
506,-16729665#0,5.77,0.14
507,-16729665#1,1.65,0.1
508,-16729754,9.89,0.35
509,-16729764#0,12.37,0.35
510,-16729764#1,12.37,0.61
511,-16729764#2,13.19,0.34
512,-16729764#3,14.01,0.39
513,-16729766#0,1.65,0.03
514,-16729766#1,0.0,0.02
515,-16729791#0,9.89,0.31
516,-16729791#1,9.89,0.22
517,-16729794#1,21.43,2.65
518,-16729794#2,21.43,1.73
519,-16729794#3,18.14,2.05
520,-16729794#4,10.72,0.59
521,-16729794#5,15.66,1.65
522,-16729803,0.82,0.02
523,-16729852,3.3,0.1
524,-170301672#0,7.42,0.23
525,-170301672#1,0.0,0
526,-170301674#0,28.85,0.57
527,-170301674#1,37.92,0.74
528,-170301674#2,45.34,0.91
