,edge,flow,density
400,-16728002#2,1.58,0.12
401,-16728002#3,3.95,0.19
402,-16728002#4,2.37,0.09
403,-16728002#5,3.95,0.2
404,-16728003,33.95,0.75
405,-16728072#0,17.37,1.01
406,-16728072#1,17.37,0.56
407,-16728072#2,11.06,0.66
408,-16728219,0.0,0
409,-16728291#0,3.16,0.17
410,-16728291#1,0.79,0.04
411,-16728291#2,0.0,0
412,-16728361#0,0.0,0
413,-16728361#1,0.0,0
414,-16728415#0,0.79,0.02
415,-16728415#1,0.0,0.05
416,-16728487,0.79,0.02
417,-16728488#0,3.95,0.13
418,-16728488#1,3.16,0.11
419,-16728507#0,4.74,0.1
420,-16728507#1,2.37,0.08
421,-16728507#2,6.32,0.15
422,-16728507#3,9.48,0.28
423,-16728507#4,1.58,0.05
424,-16728507#5,0.0,0
425,-16728512,0.0,0.2
426,-16728602#0,6.32,0.28
427,-16728602#1,25.27,0.95
428,-16728602#2,29.22,0.71
429,-16728602#3,31.59,4.07
430,-16728602#4,32.38,1.1
431,-16728602#5,31.59,0.77
432,-16728602#6,31.59,0.74
433,-16728602#7,40.27,1.09
434,-16728608,0.0,0.12
435,-16728645#0,7.9,0.28
436,-16728645#1,7.11,0.21
437,-16728645#2,6.32,0.24
438,-16728645#3,10.27,0.35
439,-16728645#4,6.32,0.26
440,-16728645#5,7.11,0.19
441,-16728645#6,5.53,0.17
442,-16728645#7,0.0,0.05
443,-16728656,2.37,0.05
444,-16728658,0.0,0.16
445,-16728790#1,6.32,0.28
446,-16728790#2,1.58,0.08
447,-16728814#0,3.95,0.1
448,-16728814#1,3.95,0.15
449,-16728814#2,0.0,0.01
450,-16728892#0,16.58,0.52
451,-16729035#0,2.37,0.06
452,-16729035#1,1.58,0.03
453,-16729095#0,1.58,0.04
454,-16729095#1,0.0,0
455,-16729162#0,5.53,0.16
456,-16729162#1,15.0,0.61
457,-16729162#2,0.0,0.02
458,-16729162#3,7.9,0.24
459,-16729162#4,6.32,0.22
460,-16729162#5,3.95,0.17
461,-16729162#6,0.0,0.07
462,-16729237#0,0.0,0
463,-16729237#1,0.0,0.12
464,-16729306#0,0.0,0
465,-16729306#1,0.0,0
466,-16729324#0,7.9,1.2
467,-16729324#1,7.11,0.28
468,-16729324#2,5.53,0.38
469,-16729324#3,5.53,0.18
470,-16729340,2.37,0.09
471,-16729384#1,0.79,0.03
472,-16729384#2,3.95,0.2
473,-16729389#0,0.0,0
474,-16729389#1,0.0,0
475,-16729398#0,1.58,0.08
476,-16729398#1,3.16,0.17
477,-16729399#0,13.42,0.48
478,-16729399#1,13.42,0.43
479,-16729399#2,11.06,0.26
480,-16729399#3,6.32,0.2
481,-16729399#4,0.0,0.03
482,-16729442#1,4.74,0.15
483,-16729442#2,7.9,0.54
484,-16729442#3,7.9,0.22
485,-16729442#4,5.53,0.17
486,-16729442#5,4.74,0.16
487,-16729624#1,42.64,0.87
488,-16729624#10,102.65,1.74
489,-16729624#11,105.81,1.73
490,-16729624#12,101.86,1.55
491,-16729624#13,100.29,1.48
492,-16729624#14,101.07,1.67
493,-16729624#15,101.86,1.58
494,-16729624#16,92.39,2.11
495,-16729624#17,12.63,0.32
496,-16729624#2,60.8,1.58
497,-16729624#3,63.17,1.02
498,-16729624#4,67.12,1.08
499,-16729624#5,71.07,4.64
500,-16729624#6,73.44,1.22
501,-16729624#7,73.44,1.49
502,-16729624#8,92.39,3.71
503,-16729624#9,90.02,1.29
504,-16729641#0,0.0,0.06
505,-16729641#1,1.58,3.78
506,-16729665#0,5.53,0.13
507,-16729665#1,1.58,0.09
508,-16729754,9.48,0.33
509,-16729764#0,11.84,0.33
510,-16729764#1,11.84,0.6
511,-16729764#2,12.63,0.33
512,-16729764#3,13.42,0.37
513,-16729766#0,1.58,0.03
514,-16729766#1,0.0,0.02
515,-16729791#0,9.48,0.28
516,-16729791#1,9.48,0.21
517,-16729794#1,20.53,2.12
518,-16729794#2,20.53,1.66
519,-16729794#3,17.37,1.77
520,-16729794#4,10.27,0.56
521,-16729794#5,15.0,1.63
522,-16729803,0.79,0.02
523,-16729852,3.16,0.09
524,-170301672#0,7.11,0.21
525,-170301672#1,0.0,0
526,-170301674#0,27.64,0.55
527,-170301674#1,36.32,0.7
528,-170301674#2,43.43,0.86
529,-170301674#3,44.22,1.0
530,-170301685#0,5.53,0.14
531,-170301685#1,10.27,0.42
532,-171004421#0,98.71,3.39
533,-171004421#1,105.02,2.23
534,-171004421#2,104.23,2.53
535,-171004421#3,93.18,1.88
536,-171004421#5,105.81,2.89
537,-171004421#7,108.18,2.83
538,-171004421#8,110.55,3.04
539,-171004796#0,45.01,1.65
540,-171004796#1,43.43,0.88
541,-171004796#2,41.85,0.86
542,-171004796#5,41.06,0.84
543,-171004796#6,39.48,0.82
544,-171004796#9,40.27,26.65
545,-171294543#0,0.79,0.02
546,-171294543#1,3.16,0.08
547,-171294543#2,0.0,0.07
548,-171294549#0,1.58,0.05
549,-171294549#1,2.37,0.07
550,-171294549#2,5.53,0.14
551,-171294549#3,2.37,0.16
552,-171294549#4,0.79,0.13
553,-171294553#0,0.79,0.16
554,-171294553#1,3.16,0.17
555,-171294553#2,3.16,0.15
556,-171294553#3,4.74,0.2
557,-171294553#4,5.53,0.3
558,-171294553#5,5.53,0.24
559,-171294553#6,9.48,0.34
560,-171294557,2.37,0.05
561,-171294567,0.0,0
562,-171294569,0.0,0
563,-171488544#0,18.16,1.26
564,-171488544#1,19.74,1.56
565,-171488544#2,20.53,3.55
566,-171488544#3,26.85,14.67
567,-171488545#0,12.63,0.51
568,-171488545#1,8.69,0.24
569,-171488545#2,10.27,0.28
570,-171488545#3,15.0,0.61
571,-171488547#0,18.95,0.54
572,-171488547#10,48.96,1.3
573,-171488547#11,157.14,5.87
574,-171488547#13,158.72,3.47
575,-171488547#14,158.72,5.2
576,-171488547#2,23.69,0.94
577,-171488547#5,25.27,0.64
578,-171488547#6,30.8,1.13
579,-171488547#7,33.95,0.83
580,-171488547#8,35.53,0.79
581,-171488547#9,40.27,0.94
582,-171488548#0,2.37,0.06
583,-171488548#1,1.58,0.06
584,-171488549#0,0.79,0.13
585,-171488555,0.0,0
586,-171702737#0,6.32,0.19
