minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.83,4.39,10.07,9.0,1.65,7.16,4.53,575.79,155.88,1.0,311.47,10.5,64.66,51.2,0.0
2.82,5.59,14.05,9.0,0.88,5.74,4.3,463.13,103.38,0.82,192.85,11.21,66.17,53.36,0.0
1.68,4.48,6.42,9.0,0.88,6.93,4.75,469.57,105.99,0.86,202.3,11.05,65.32,53.12,0.0
3.3,2.35,6.42,9.0,1.49,4.58,4.66,560.57,147.41,0.96,304.28,10.08,62.74,49.89,0.0
2.25,4.48,8.19,9.0,0.88,6.93,4.15,442.27,86.91,0.8,175.28,11.16,65.26,53.53,0.0
1.73,4.48,14.39,9.0,0.88,6.93,4.34,460.55,99.71,0.83,192.24,11.18,65.81,52.95,2.0
3.67,2.37,13.4,9.0,0.74,5.01,4.72,607.05,224.19,1.02,338.04,10.6,66.33,50.26,5.0
2.51,4.48,10.07,9.0,1.31,5.93,4.48,568.62,156.85,1.0,299.99,10.76,66.02,51.45,0.0
2.82,5.59,10.07,9.0,1.94,6.03,4.5,546.39,121.91,0.98,285.76,10.44,63.65,51.29,0.0
2.79,3.11,11.38,9.0,1.12,5.42,4.55,516.85,133.74,0.93,253.48,10.71,64.54,51.91,0.0
2.48,5.59,14.05,9.0,0.51,5.11,4.2,422.34,82.01,0.75,152.95,11.44,65.96,53.86,112.0
2.82,4.46,7.18,9.0,1.24,5.99,4.28,502.94,116.09,0.9,237.97,10.84,64.73,52.46,0.0
2.79,4.46,8.73,9.0,1.94,5.01,5.13,589.81,148.86,1.05,327.53,10.25,64.15,50.23,0.0
2.21,2.37,9.27,9.0,1.24,6.11,4.89,520.41,129.71,0.93,260.78,10.43,63.58,50.99,0.0
2.21,4.46,7.18,9.0,1.24,3.75,4.36,500.23,113.52,0.9,237.26,10.72,64.28,52.25,0.0
3.37,4.46,7.83,9.0,0.77,6.11,4.14,446.09,93.92,0.8,179.07,11.14,65.24,53.48,4.0
3.48,5.49,14.05,9.0,0.65,5.83,4.5,433.23,89.27,0.78,164.18,11.31,65.74,53.85,25.0
2.82,5.14,11.22,9.0,1.24,6.02,4.53,527.64,136.48,0.95,258.82,10.93,65.79,52.98,0.0
