minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.46,4.4,14.8,9.0,0.59,6.59,4.03,427.81,81.27,0.76,158.97,11.29,65.83,53.3,100.0
4.99,3.5,8.78,9.0,1.65,7.25,4.55,582.51,156.27,1.03,318.21,10.4,64.89,50.16,0.0
4.08,5.71,5.95,9.0,0.7,4.42,4.3,478.62,122.09,0.86,210.03,11.1,65.75,53.25,12.0
4.42,4.11,12.73,9.0,0.88,4.74,4.53,486.34,123.28,0.87,218.81,10.99,65.38,52.91,0.0
4.64,2.91,6.24,9.0,1.3,7.07,4.49,581.09,172.17,0.98,314.69,10.45,65.71,50.1,0.0
1.96,3.42,6.51,9.0,0.83,5.35,4.53,547.27,168.18,0.98,279.62,10.8,65.58,51.9,6.0
2.68,3.94,9.12,9.0,1.69,7.17,4.55,553.75,134.16,0.99,290.77,10.49,64.33,51.23,0.0
3.84,3.34,4.52,9.0,1.16,3.44,4.36,516.81,128.85,0.93,259.85,10.39,62.93,51.48,0.0
1.49,3.99,10.46,9.0,1.9,3.46,4.51,552.22,133.79,0.97,291.13,10.22,63.89,49.83,0.0
4.27,5.78,5.51,9.0,1.52,5.57,5.32,849.58,385.04,1.32,575.1,10.23,68.17,48.55,0.0
4.67,3.8,11.46,9.0,1.94,3.09,4.84,670.86,200.78,1.09,407.29,10.02,64.88,48.45,0.0
4.62,5.25,12.51,9.0,1.71,7.78,4.54,587.26,155.71,1.02,319.91,10.62,65.5,51.24,0.0
1.95,2.15,11.32,9.0,1.15,4.59,4.51,511.66,126.63,0.92,256.45,10.31,62.45,51.01,0.0
4.22,1.55,11.91,9.0,0.73,7.39,5.19,732.75,327.96,1.14,463.22,10.15,67.44,47.8,38.0
4.64,1.63,5.45,9.0,1.17,2.68,5.45,840.2,374.31,1.21,573.83,9.41,66.35,44.82,0.0
4.78,3.23,12.6,9.0,0.8,3.75,4.41,505.47,143.97,0.9,240.92,10.77,64.67,51.95,1.0
2.56,5.44,12.22,9.0,0.98,3.39,4.26,462.15,96.04,0.82,193.19,11.05,65.8,52.98,0.0
2.89,3.07,13.85,9.0,0.69,7.32,4.53,489.32,134.42,0.89,223.9,11.0,64.94,53.17,29.0
1.71,3.13,12.27,9.0,1.1,6.04,4.2,460.38,91.47,0.82,196.15,10.83,64.7,52.19,0.0
1.76,4.19,11.69,9.0,0.65,6.23,4.15,433.89,85.05,0.78,165.87,11.22,65.43,53.26,60.0
4.71,4.36,13.31,9.0,1.61,4.56,4.72,671.12,219.78,1.07,401.48,10.49,66.75,49.23,0.0
3.9,4.01,14.12,9.0,1.97,2.11,4.5,547.85,114.95,0.97,294.04,9.96,61.75,49.58,0.0
2.84,5.78,9.03,9.0,1.0,3.82,4.13,449.64,89.94,0.82,184.43,11.07,64.87,53.82,0.0
4.29,2.71,11.16,9.0,0.56,5.63,4.47,471.7,126.62,0.86,209.23,10.87,64.24,52.9,44.0
1.81,5.66,5.47,9.0,1.48,2.59,4.47,521.32,127.25,0.93,259.3,10.42,64.0,51.13,0.0
2.31,5.61,11.15,9.0,0.67,6.11,4.13,444.18,93.09,0.79,173.28,11.33,66.44,53.65,47.0
4.61,4.54,12.8,9.0,1.9,6.09,4.35,499.09,97.98,0.88,237.07,10.44,63.99,50.91,0.0
2.11,3.26,8.65,9.0,1.44,2.5,4.33,479.18,94.76,0.86,225.23,10.21,62.09,50.58,0.0
3.33,3.29,11.23,9.0,1.45,4.67,4.72,636.8,200.02,1.06,366.53,10.43,67.11,49.16,0.0
3.35,2.3,12.94,9.0,1.98,3.46,5.44,769.98,265.26,1.17,501.44,9.68,66.64,45.72,0.0
2.46,2.38,12.89,9.0,1.81,4.98,4.77,600.77,157.66,1.04,341.98,10.02,63.67,48.44,0.0
3.12,2.5,10.48,9.0,1.99,4.41,4.94,666.83,196.54,1.08,404.65,9.83,64.86,47.07,0.0
2.79,2.95,10.22,9.0,1.9,3.56,4.58,601.13,153.95,1.03,341.99,9.95,63.65,48.36,0.0
3.93,2.14,10.67,9.0,1.79,7.25,5.21,669.0,207.13,1.07,407.48,9.93,64.83,47.75,0.0
4.21,3.29,6.16,9.0,1.05,3.91,4.3,491.77,118.48,0.87,230.43,10.63,63.99,51.73,0.0
2.29,5.1,8.88,9.0,0.51,4.43,4.03,420.5,78.32,0.75,152.44,11.33,65.47,53.97,112.0
4.22,1.83,4.62,9.0,1.41,2.6,4.77,673.76,222.66,1.03,411.02,9.48,64.92,45.83,0.0
4.66,3.71,8.39,9.0,1.45,3.55,5.21,685.65,249.81,1.12,418.28,10.24,65.83,49.63,0.0
4.69,4.55,8.45,9.0,1.82,2.94,4.65,547.48,126.41,0.96,290.28,10.2,62.68,50.62,0.0
1.57,3.41,13.68,9.0,0.6,2.19,4.46,450.08,94.31,0.81,185.83,10.78,64.58,52.29,79.0
2.61,5.16,9.93,9.0,1.18,4.02,4.57,522.77,133.71,0.94,256.36,10.83,65.1,52.53,0.0
3.72,2.34,9.52,9.0,1.32,3.75,4.82,603.99,186.85,1.02,344.47,10.16,63.57,49.84,0.0
2.16,5.79,10.07,9.0,0.64,5.34,4.15,422.22,77.74,0.77,154.8,11.37,65.35,54.75,52.0
3.11,4.61,6.06,9.0,1.32,7.58,4.33,527.17,132.39,0.96,263.85,10.75,64.32,52.54,0.0
3.67,1.55,13.31,9.0,1.05,4.35,5.61,949.62,478.9,1.31,669.56,9.71,70.55,43.82,0.0
2.28,2.18,8.67,9.0,1.26,7.37,4.57,560.15,153.69,0.98,299.04,10.31,64.13,49.79,0.0
3.62,2.07,14.63,9.0,1.78,3.59,5.05,710.28,235.68,1.1,446.2,9.77,65.6,46.78,0.0
4.65,4.56,10.08,9.0,1.22,5.05,4.51,570.66,166.62,0.97,301.14,10.77,66.55,51.34,0.0
1.48,3.41,12.55,9.0,1.6,6.08,4.5,523.68,120.03,0.94,263.71,10.52,63.62,51.35,0.0
3.59,3.04,10.67,9.0,1.61,7.6,4.7,598.88,170.87,1.03,335.09,10.36,64.77,50.08,0.0
3.97,3.01,9.27,9.0,1.05,4.15,4.6,575.16,180.98,1.02,311.26,10.55,64.65,51.19,0.0
1.74,5.74,7.44,9.0,1.81,3.07,4.22,490.56,110.77,0.89,236.07,10.36,61.81,51.26,0.0
2.5,2.84,8.98,9.0,1.74,6.39,4.56,554.98,132.46,1.0,297.72,10.23,63.03,50.06,0.0
4.3,3.18,11.8,9.0,1.74,2.65,4.68,609.26,170.15,1.02,350.25,9.96,63.46,48.88,0.0
1.43,1.66,8.12,9.0,1.3,2.65,5.35,647.25,202.97,1.09,389.16,9.57,63.56,46.67,0.0
2.89,4.08,9.07,9.0,0.84,6.29,4.68,455.84,100.22,0.83,190.24,11.07,64.94,53.79,0.0
1.57,2.78,10.92,9.0,1.69,7.77,4.68,602.76,163.16,1.04,338.89,10.3,64.88,49.53,0.0
3.22,2.22,4.64,9.0,0.64,6.54,4.75,506.54,141.95,0.91,245.57,10.51,63.9,51.45,21.0
1.26,3.56,10.34,9.0,1.02,4.1,4.22,464.33,96.43,0.84,200.71,10.84,64.51,52.52,0.0
