minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.94,3.29,13.7,9.0,1.41,2.88,5.16,632.25,197.66,1.08,364.24,10.31,66.33,49.19,0.0
3.72,4.17,13.7,9.0,1.41,2.88,4.38,506.36,114.37,0.9,245.66,10.56,63.72,51.88,0.0
1.78,1.75,5.96,9.0,1.08,7.64,4.78,586.25,175.6,1.02,325.37,10.08,64.45,48.59,0.0
4.68,5.25,10.69,9.0,1.08,4.7,4.21,471.72,105.04,0.85,206.63,10.99,64.86,53.33,0.0
2.94,1.6,13.7,9.0,1.28,7.64,4.93,682.65,249.02,1.07,418.68,9.99,65.54,47.07,0.0
2.94,4.24,6.75,9.0,1.41,3.24,4.42,512.75,115.64,0.91,252.08,10.5,63.76,51.49,0.0
4.91,5.62,4.2,9.0,0.53,5.09,4.15,455.81,109.59,0.79,186.75,11.18,65.93,53.04,45.0
3.67,5.62,11.18,9.0,1.02,2.88,4.66,490.66,117.57,0.87,223.5,10.94,65.34,53.1,0.0
2.59,2.55,4.07,9.0,1.55,2.88,4.56,602.18,158.68,1.04,345.06,9.78,63.06,47.85,0.0
3.67,5.45,4.2,9.0,0.76,2.88,4.14,463.98,104.78,0.83,199.95,10.94,64.47,53.43,0.0
3.67,4.06,4.2,9.0,1.08,5.59,4.6,481.76,107.94,0.86,219.31,10.73,64.13,52.19,0.0
4.18,5.62,5.79,9.0,1.08,2.88,6.74,1391.33,927.61,1.87,1104.29,9.83,72.26,45.5,0.0
2.77,3.13,14.47,9.0,1.77,2.88,4.61,571.06,139.68,0.98,310.63,10.1,63.81,49.22,0.0
3.67,5.62,8.65,9.0,1.25,6.02,4.3,495.06,112.72,0.88,228.02,10.97,65.31,53.02,0.0
4.53,2.31,5.15,9.0,1.08,2.88,4.68,587.6,183.51,1.02,325.99,10.04,64.16,49.21,0.0
2.94,4.96,9.1,9.0,1.08,7.64,4.38,491.58,118.71,0.88,224.26,11.05,65.39,53.18,0.0
4.98,5.62,13.7,9.0,0.66,4.78,4.29,479.05,128.95,0.86,209.32,11.25,65.96,53.53,14.0
3.44,5.39,10.17,9.0,1.08,6.33,4.49,525.65,144.35,0.94,256.01,11.01,65.99,52.87,0.0
3.67,3.85,5.39,9.0,1.08,2.88,4.95,580.57,178.46,1.04,315.32,10.49,64.93,51.04,0.0
3.67,3.81,4.2,9.0,0.85,2.88,4.19,458.86,97.0,0.83,198.99,10.63,63.54,52.49,1.0
4.56,2.63,11.6,9.0,1.57,2.42,4.86,676.61,221.16,1.07,411.06,9.88,65.91,47.18,0.0
2.94,4.37,13.7,9.0,1.08,7.64,4.2,465.42,101.4,0.84,198.06,11.1,65.31,53.29,0.0
4.47,4.37,13.72,9.0,1.08,5.93,4.33,488.71,117.56,0.87,222.29,10.98,65.22,52.74,0.0
4.08,4.37,4.8,9.0,1.08,3.53,4.7,546.86,152.68,0.96,279.67,10.61,65.39,51.4,0.0
2.94,4.37,13.7,9.0,1.84,3.18,4.46,548.53,126.7,0.99,289.6,10.29,63.29,50.71,0.0
2.94,2.36,13.7,9.0,1.08,7.64,4.58,589.18,188.26,1.02,322.2,10.51,66.06,49.88,0.0
4.06,3.41,11.18,9.0,0.62,7.64,4.34,452.31,108.17,0.81,185.78,11.1,65.23,53.27,38.0
4.07,4.37,6.9,9.0,1.0,7.64,4.55,472.94,109.85,0.85,208.84,10.97,64.62,53.04,0.0
2.94,4.29,9.37,9.0,1.08,3.19,4.69,476.77,104.64,0.84,211.33,10.78,64.96,51.9,0.0
2.94,4.37,13.7,9.0,1.08,7.64,4.2,465.42,101.4,0.84,198.06,11.1,65.31,53.29,0.0
4.47,5.67,13.7,9.0,1.72,7.64,4.43,461.48,80.95,0.83,199.61,10.71,63.9,52.4,0.0
3.19,4.37,13.72,9.0,1.65,6.96,4.37,517.62,114.76,0.91,252.79,10.69,64.79,51.76,0.0
4.47,4.37,10.24,9.0,1.08,2.87,4.42,495.39,118.34,0.9,233.37,10.75,64.07,53.21,0.0
4.47,4.37,13.72,9.0,1.08,6.21,4.29,471.35,107.56,0.85,205.56,11.01,65.0,53.4,0.0
4.47,4.37,13.7,9.0,1.08,5.04,4.21,493.26,120.9,0.87,224.88,10.9,65.77,52.46,0.0
3.47,4.37,13.72,9.0,1.72,6.16,4.8,539.81,126.08,0.96,276.14,10.53,64.54,51.35,0.0
1.71,4.37,4.9,9.0,1.3,3.74,4.64,478.94,99.5,0.87,220.36,10.56,63.19,51.78,0.0
4.47,4.37,13.72,9.0,1.08,4.9,4.66,497.26,121.98,0.88,229.83,10.94,65.41,52.88,0.0
2.94,4.37,13.7,9.0,1.08,6.8,4.61,555.25,169.09,1.03,288.51,10.97,65.23,53.2,0.0
2.01,4.37,13.7,9.0,1.08,7.64,4.53,518.56,140.47,0.94,252.9,11.04,64.97,53.51,0.0
2.66,4.91,7.11,9.0,1.08,3.48,4.54,556.9,161.74,1.0,289.31,10.73,65.6,51.84,0.0
2.43,1.66,13.7,9.0,1.0,2.88,4.87,574.71,172.46,1.0,316.61,9.9,63.31,49.09,0.0
1.34,5.13,12.59,9.0,1.08,7.65,4.24,482.78,118.01,0.88,215.42,11.15,65.38,53.53,0.0
4.6,4.37,14.07,9.0,0.7,7.64,4.25,469.18,121.07,0.84,200.22,11.22,65.81,53.37,4.0
2.94,3.94,4.51,9.0,0.81,5.69,4.16,453.29,94.78,0.82,188.02,10.97,64.91,53.49,0.0
2.94,3.26,5.9,9.0,1.8,6.92,4.4,552.46,131.01,0.98,293.89,10.22,63.25,50.13,0.0
3.86,5.76,7.27,9.0,1.08,7.64,4.44,552.99,164.55,0.96,282.58,10.97,66.65,52.13,0.0
2.33,4.37,13.7,9.0,1.08,5.94,4.54,502.65,126.14,0.92,236.2,10.99,65.17,52.98,0.0
2.94,3.94,4.51,9.0,0.81,2.06,4.28,454.38,92.96,0.83,196.46,10.55,63.0,52.15,0.0
2.08,4.37,13.7,9.0,1.08,7.64,4.38,512.56,134.36,0.92,245.97,11.01,65.21,52.92,0.0
4.14,4.37,4.51,9.0,0.81,5.79,4.54,546.33,173.01,1.0,278.33,10.89,65.61,52.64,0.0
2.26,4.16,12.68,9.0,1.0,7.64,4.41,521.66,142.56,0.94,253.04,10.99,65.87,52.38,0.0
2.01,4.37,13.77,9.0,0.85,6.58,4.35,482.37,118.06,0.86,213.65,11.15,65.65,53.04,5.0
2.46,3.94,4.51,9.0,1.08,5.69,4.25,517.92,130.96,0.92,252.08,10.76,65.06,51.76,0.0
2.94,3.94,7.35,9.0,0.81,5.69,4.25,464.84,106.2,0.83,198.42,11.01,65.13,53.01,1.0
4.74,5.78,4.51,9.0,0.69,5.69,4.45,548.69,182.68,0.97,277.98,10.95,66.75,52.06,27.0
2.94,5.53,4.51,9.0,0.81,4.62,4.33,491.35,124.88,0.87,223.06,11.01,65.66,52.67,0.0
2.94,3.94,8.71,9.0,1.15,5.69,4.39,511.99,128.54,0.92,248.27,10.83,64.46,52.82,0.0
2.94,2.72,8.54,9.0,1.46,5.69,4.58,632.35,195.25,1.06,363.51,10.3,66.51,48.6,0.0
2.94,3.94,8.09,9.0,0.81,5.69,4.53,503.62,139.25,0.91,236.72,10.98,65.25,52.85,2.0
2.99,3.94,4.51,9.0,1.86,5.69,4.22,489.32,90.28,0.88,233.67,10.23,62.29,50.39,0.0
2.94,3.32,8.98,9.0,0.81,5.69,4.36,462.07,104.96,0.83,197.19,10.9,64.77,52.42,0.0
2.94,2.91,11.23,9.0,0.81,7.99,4.4,460.15,108.29,0.85,199.24,10.88,63.88,53.12,3.0
4.25,3.79,8.98,9.0,0.81,5.69,4.31,467.73,113.59,0.86,203.28,11.0,64.65,53.84,0.0
2.94,5.01,11.55,9.0,0.7,5.69,4.15,448.9,99.11,0.81,180.33,11.22,65.56,53.84,11.0
3.0,3.32,8.98,9.0,0.81,3.82,4.23,467.65,108.34,0.85,204.36,10.82,64.41,52.9,1.0
2.94,5.15,8.98,9.0,0.68,4.67,4.24,453.19,101.01,0.81,183.45,11.19,66.08,53.26,31.0
2.94,3.32,8.98,9.0,1.21,7.16,4.71,484.33,109.22,0.89,222.79,10.77,64.03,52.91,0.0
2.94,3.32,8.36,9.0,0.78,5.69,4.81,493.43,130.03,0.9,228.02,10.87,64.89,52.7,4.0
2.94,3.32,8.98,9.0,0.81,2.64,4.51,515.5,142.26,0.92,251.64,10.63,64.54,51.62,0.0
2.94,2.97,8.56,9.0,0.81,5.69,4.39,498.25,133.25,0.9,234.5,10.81,64.58,52.78,0.0
3.83,3.96,11.46,9.0,0.81,5.69,4.38,504.66,141.63,0.9,237.06,11.0,65.58,52.74,1.0
4.93,3.94,9.76,9.0,0.93,5.69,4.2,484.52,121.56,0.86,217.53,10.95,65.29,52.69,0.0
4.25,3.79,5.04,9.0,0.81,5.69,4.6,586.88,206.62,1.04,318.11,10.77,66.13,51.76,0.0
4.25,3.79,8.98,9.0,1.15,5.69,4.53,533.22,144.57,0.96,268.39,10.8,64.75,52.85,0.0
4.25,3.79,8.98,9.0,0.62,6.12,4.27,458.3,111.47,0.82,190.23,11.14,65.52,53.41,28.0
3.72,1.95,6.09,9.0,0.81,2.15,4.84,614.28,214.9,1.05,355.64,9.86,63.22,48.86,0.0
3.98,3.79,4.51,9.0,0.81,3.51,4.33,494.91,126.43,0.87,230.03,10.75,64.78,52.05,0.0
3.84,3.02,6.1,9.0,0.7,4.35,4.41,490.39,132.25,0.88,227.65,10.72,64.28,52.14,8.0
2.94,3.94,14.83,9.0,1.15,7.27,4.44,556.89,162.7,1.0,288.1,10.86,65.87,51.94,0.0
2.94,3.94,4.51,9.0,0.7,5.69,4.33,470.45,112.17,0.84,204.3,10.98,65.08,52.92,20.0
2.94,2.04,4.49,9.0,1.97,5.69,5.45,753.01,252.64,1.14,488.67,9.54,65.56,45.04,0.0
3.64,3.94,10.5,9.0,0.81,5.69,4.42,493.14,131.43,0.88,226.39,11.02,65.18,53.04,1.0
2.94,2.63,4.51,9.0,0.81,4.48,4.66,477.67,110.96,0.86,216.88,10.53,63.81,51.57,0.0
2.94,3.94,11.64,9.0,0.81,3.32,4.45,476.55,117.42,0.88,212.77,10.89,64.46,53.31,1.0
2.94,4.86,4.51,9.0,0.81,6.66,4.99,700.68,313.71,1.22,427.46,10.69,67.68,50.48,10.0
2.94,5.35,4.51,9.0,0.81,4.48,4.26,470.76,107.96,0.85,203.85,11.02,65.28,53.35,0.0
2.94,3.15,13.03,9.0,0.81,4.48,4.27,451.27,98.98,0.82,188.96,10.89,64.13,53.11,0.0
4.76,4.23,4.51,9.0,0.73,4.48,4.27,485.32,126.77,0.87,220.6,10.92,64.72,53.54,0.0
2.94,2.63,4.51,9.0,0.56,4.48,4.2,433.36,85.53,0.79,174.36,10.68,63.39,52.63,32.0
2.53,2.63,4.51,9.0,0.81,5.51,4.41,475.05,109.56,0.84,213.29,10.59,64.19,51.17,0.0
4.25,2.63,4.51,9.0,0.81,6.42,4.78,524.34,154.56,0.94,261.58,10.59,64.35,51.91,1.0
2.94,3.17,6.98,9.0,0.61,7.09,4.19,431.7,86.1,0.78,167.2,11.01,64.69,53.17,34.0
3.31,2.36,4.03,9.0,0.81,5.85,5.14,520.03,147.75,0.93,261.07,10.39,63.36,51.16,1.0
1.48,4.23,4.51,9.0,1.65,4.48,4.13,474.98,88.83,0.85,217.37,10.36,62.88,50.61,0.0
4.76,3.63,4.51,9.0,0.73,5.6,4.11,486.72,125.43,0.84,219.28,10.85,65.48,51.86,0.0
4.76,4.23,4.86,9.0,0.73,4.48,4.23,468.63,113.25,0.83,202.34,10.95,65.02,52.94,1.0
