minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
3.57,5.72,3.93,9.0,0.87,5.67,4.29,499.41,131.25,0.89,231.56,10.98,65.54,53.03,1.0,4.0
2.28,5.26,5.31,9.0,0.87,2.74,4.12,501.59,126.98,0.89,234.36,10.86,65.37,52.43,0.0,-0.28
2.96,5.72,3.93,9.0,1.87,7.99,4.54,494.39,93.57,0.88,234.27,10.42,63.45,51.21,0.0,0.02
2.43,4.26,13.61,9.0,1.87,7.18,5.05,572.78,140.1,1.0,307.68,10.44,65.05,50.31,0.0,0.37
1.28,5.72,13.61,9.0,1.17,7.37,4.18,444.31,92.78,0.81,178.82,11.15,64.95,53.59,0.0,-0.49
1.26,5.72,11.49,9.0,0.87,7.99,4.17,482.99,126.62,0.87,214.6,11.28,65.77,53.47,5.0,4.0
2.96,3.5,8.95,9.0,1.25,7.44,4.6,545.52,147.87,0.97,278.28,10.71,65.42,52.02,0.0,0.02
3.25,5.72,8.38,9.0,1.18,3.1,4.21,486.31,106.37,0.86,218.94,10.85,65.38,52.57,0.0,-0.3
1.46,2.93,3.93,9.0,0.87,7.99,4.21,474.88,107.36,0.86,213.78,10.71,63.97,51.91,2.0,4.0
4.31,4.89,12.46,9.0,1.21,2.99,4.59,560.3,159.04,1.01,294.22,10.69,64.97,52.12,0.0,0.04
1.28,3.01,3.93,9.0,1.02,7.37,4.38,479.71,105.88,0.86,219.72,10.64,63.72,51.35,0.0,-0.09
2.96,5.72,13.61,9.0,1.75,7.99,4.4,555.9,140.36,0.99,291.94,10.61,64.55,50.94,0.0,0.02
2.87,4.57,3.93,9.0,1.16,7.37,4.17,492.8,110.46,0.85,226.04,10.8,65.28,51.75,0.0,-0.24
1.28,5.72,9.6,9.0,1.71,7.99,4.8,534.85,148.72,0.93,269.11,10.63,65.38,50.55,0.0,0.21
2.96,5.72,11.55,9.0,1.16,7.69,4.34,487.7,114.98,0.89,221.71,11.09,65.07,53.8,0.0,-0.37
4.57,5.72,3.93,9.0,1.71,7.99,4.13,463.84,79.72,0.82,203.12,10.55,63.59,51.61,0.0,-0.23
2.96,3.9,9.6,9.0,0.87,4.35,4.37,519.88,145.37,0.91,251.04,10.89,66.06,51.78,0.0,-0.12
4.89,5.72,9.6,9.0,0.87,7.99,4.5,554.91,183.88,1.02,284.82,11.05,66.25,52.94,0.0,-0.1
2.96,2.85,3.93,9.0,0.94,7.99,4.35,465.86,100.64,0.83,205.2,10.64,63.88,51.72,0.0,-0.14
2.96,5.42,3.93,9.0,0.87,7.99,4.21,486.35,120.13,0.86,217.89,11.04,65.7,53.3,0.0,-0.37
4.77,5.72,3.93,9.0,0.87,7.99,4.12,469.91,109.57,0.84,202.29,11.08,65.45,53.47,0.0,-0.45
