minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.09,4.0,9.85,9.0,1.27,4.92,4.24,479.4,104.14,0.87,219.68,10.76,63.47,52.73,0.0
3.09,4.0,4.11,9.0,1.27,4.89,4.35,495.27,111.34,0.9,236.34,10.55,63.32,51.99,0.0
2.8,2.63,7.32,9.0,1.27,7.27,4.71,502.71,119.85,0.92,245.02,10.46,63.1,51.51,0.0
1.62,4.38,13.62,9.0,1.61,3.78,4.69,579.51,158.2,1.03,315.55,10.49,64.59,51.17,0.0
3.1,3.29,8.11,9.0,1.43,4.92,5.0,666.11,228.32,1.13,398.49,10.34,66.24,49.82,0.0
3.09,4.05,12.74,9.0,1.77,4.95,4.45,539.63,125.42,0.96,277.56,10.42,64.12,50.72,0.0
3.85,4.67,9.85,9.0,1.61,5.56,4.45,554.76,137.19,0.97,289.61,10.55,64.81,51.12,0.0
3.09,5.12,9.85,9.0,0.91,4.92,4.14,463.86,104.72,0.83,195.99,11.06,65.46,53.11,0.0
3.09,4.36,11.41,9.0,0.92,4.92,4.28,486.38,121.49,0.87,219.69,10.99,65.19,52.67,0.0
3.98,1.74,5.19,9.0,1.61,3.78,5.23,783.55,296.14,1.15,516.22,9.47,66.51,44.85,0.0
1.76,5.66,12.0,9.0,0.97,3.78,4.43,477.74,112.36,0.87,211.25,11.12,65.16,54.07,0.0
4.69,3.06,11.02,9.0,0.71,4.92,4.55,541.62,180.16,0.97,276.98,10.77,64.75,52.05,6.0
3.09,4.0,11.43,9.0,1.0,3.78,4.47,503.06,129.8,0.9,238.42,10.86,64.75,52.53,0.0
1.76,4.36,6.21,9.0,0.76,4.92,4.68,463.32,102.07,0.83,195.42,11.03,65.55,52.79,25.0
2.86,5.2,11.41,9.0,0.97,3.78,4.39,514.0,136.92,0.9,244.45,10.98,66.23,52.2,0.0
4.11,3.72,10.69,9.0,0.97,3.78,4.92,560.22,177.19,1.02,293.48,10.69,65.28,52.2,0.0
1.76,5.66,11.42,9.0,0.97,3.78,4.56,504.71,133.5,0.92,237.89,11.09,65.26,53.93,0.0
1.76,1.87,12.0,9.0,0.97,5.56,4.95,580.8,183.3,1.05,320.48,10.27,63.83,50.12,1.0
1.76,5.66,12.27,9.0,0.97,4.26,4.27,508.76,136.23,0.91,239.75,11.1,65.78,53.04,0.0
1.76,5.8,10.69,9.0,0.97,7.14,4.44,476.19,113.63,0.88,209.39,11.18,65.23,53.72,0.0
4.11,3.72,12.0,9.0,0.92,4.31,4.42,508.77,140.38,0.92,243.94,10.8,64.74,52.59,0.0
1.76,3.72,12.0,9.0,0.97,3.78,4.43,478.83,107.51,0.86,212.9,10.87,65.05,52.31,0.0
1.76,3.25,12.0,9.0,0.97,3.78,4.51,478.97,108.35,0.87,214.97,10.78,64.64,52.17,0.0
4.11,1.87,10.42,9.0,0.57,3.78,4.88,562.15,193.56,1.0,303.19,10.33,63.24,51.69,42.0
2.29,4.1,13.24,9.0,0.61,3.78,4.12,430.6,83.49,0.76,163.19,11.16,65.35,53.01,57.0
4.24,3.06,12.48,9.0,1.56,7.21,4.43,505.05,112.53,0.92,247.44,10.5,63.09,51.68,0.0
4.56,2.5,9.02,9.0,0.92,4.31,4.93,654.55,253.9,1.09,385.04,10.41,66.63,49.49,0.0
4.11,3.72,12.84,9.0,0.92,6.48,4.62,553.17,175.04,1.02,285.85,10.88,65.63,52.57,0.0
4.11,3.72,4.26,9.0,0.92,5.16,4.09,458.72,95.69,0.82,195.26,10.8,64.47,52.34,0.0
2.05,3.72,5.55,9.0,0.94,4.31,4.37,475.47,108.24,0.87,214.27,10.78,63.89,52.73,0.0
3.34,4.55,12.0,9.0,0.87,4.15,4.65,454.7,100.72,0.84,190.04,11.05,64.7,53.9,0.0
3.25,5.66,12.0,9.0,1.91,6.08,4.46,542.33,123.71,0.96,279.02,10.48,64.4,51.04,0.0
1.76,2.17,13.8,9.0,0.97,3.78,4.82,464.05,96.03,0.84,205.53,10.41,63.3,51.29,0.0
1.83,5.66,9.86,9.0,0.97,4.78,4.3,483.66,117.34,0.87,216.03,11.1,65.47,53.12,0.0
4.29,4.42,9.03,9.0,0.97,7.99,4.52,546.02,168.53,0.98,279.08,10.94,65.46,52.5,0.0
1.41,4.55,9.66,9.0,0.87,4.15,4.4,471.44,109.25,0.87,205.91,11.08,64.95,53.71,2.0
3.34,2.55,12.0,9.0,1.77,4.15,4.87,627.63,184.48,1.04,368.28,10.02,63.83,48.8,0.0
4.73,3.72,9.55,9.0,1.21,6.25,4.61,505.69,128.67,0.9,241.34,10.75,64.68,52.72,0.0
3.34,4.55,12.0,9.0,1.05,3.14,4.42,493.19,120.85,0.9,229.85,10.85,64.4,53.36,0.0
3.34,4.55,13.58,9.0,1.08,6.61,4.31,466.05,103.86,0.85,200.97,11.09,64.79,53.88,0.0
4.34,4.47,12.0,9.0,1.08,3.85,4.32,482.38,110.38,0.86,216.37,10.9,65.07,53.05,0.0
1.36,4.55,8.79,9.0,1.17,7.81,4.33,502.01,123.05,0.9,233.85,10.95,65.64,52.7,0.0
3.34,3.31,12.0,9.0,0.87,4.15,4.66,476.62,116.25,0.86,213.9,10.85,64.28,52.93,1.0
1.36,4.55,8.79,9.0,0.97,2.18,4.47,510.1,131.62,0.92,245.56,10.72,64.7,51.86,0.0
1.36,4.76,12.0,9.0,1.02,3.78,4.31,515.14,134.37,0.92,246.74,10.9,65.74,52.18,0.0
1.36,4.55,8.79,9.0,1.17,3.36,4.39,511.32,129.5,0.92,248.6,10.76,64.2,52.42,0.0
1.79,4.08,11.69,9.0,0.57,4.37,4.59,428.03,82.03,0.77,161.2,11.15,65.21,53.28,101.0
4.72,4.55,8.79,9.0,1.17,3.78,4.5,537.54,148.1,0.97,273.98,10.71,64.41,52.45,0.0
1.59,5.4,9.3,9.0,0.97,7.52,4.86,461.89,101.83,0.84,195.47,11.16,65.17,53.26,0.0
4.72,4.55,8.79,9.0,1.17,4.89,4.34,506.15,125.39,0.92,242.44,10.86,64.49,53.39,0.0
1.44,5.47,12.87,9.0,1.64,3.4,4.18,475.49,102.5,0.86,215.11,10.57,63.53,51.73,0.0
4.72,4.55,8.79,9.0,1.17,3.87,4.62,502.53,124.73,0.91,238.64,10.78,64.51,52.72,0.0
4.72,3.9,14.24,9.0,1.7,3.31,4.69,618.99,176.9,1.04,353.53,10.3,65.24,49.97,0.0
